stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,-57.16,57.83,-8.65,2094,681,32.5,2103,697,33.1,4197,1378,32.8
HK.00005,HSBC,2025-07-21,2026-01-21,-58.6,58.62,-11.01,2164,529,24.4,2215,535,24.2,4379,1064,24.3
HK.09988,Alibaba,2025-07-21,2026-01-21,-53.51,56.66,-4.5,2241,848,37.8,2234,886,39.7,4475,1734,38.7
HK.01810,Xiaomi,2025-07-21,2026-01-21,-42.66,43.55,-5.13,2213,772,34.9,2226,878,39.4,4439,1650,37.2
HK.00939,CCB,2025-07-21,2026-01-21,-76.37,77.1,-15.57,2204,483,21.9,2223,504,22.7,4427,987,22.3
HK.01299,AIA,2025-07-21,2026-01-21,-55.44,57.15,-6.33,2282,747,32.7,2257,772,34.2,4539,1519,33.5
HK.00941,ChinaMobile,2025-07-21,2026-01-21,-53.95,54.06,-16.22,2271,569,25.1,2298,604,26.3,4569,1173,25.7
HK.03690,Meituan,2025-07-21,2026-01-21,-56.04,57.08,-5.58,2271,796,35.1,2271,882,38.8,4542,1678,36.9
HK.01211,BYD,2025-07-21,2026-01-21,-55.32,61.99,-5.69,2238,795,35.5,2219,881,39.7,4457,1676,37.6
HK.00388,HKEX,2025-07-21,2026-01-21,-30.69,34.23,-4.79,2247,862,38.4,2254,892,39.6,4501,1754,39.0
