stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,15.37,13.32,0.68,0,0,0,0,0,0,0,0,0
HK.00005,HSBC,2025-07-21,2026-01-21,30.26,10.42,1.28,0,0,0,0,0,0,0,0,0
HK.09988,Alibaba,2025-07-21,2026-01-21,36.49,23.85,0.78,0,0,0,0,0,0,0,0,0
HK.01810,Xiaomi,2025-07-21,2026-01-21,-40.1,42.19,-1.43,0,0,0,0,0,0,0,0,0
HK.00939,CCB,2025-07-21,2026-01-21,-4.28,14.87,-0.19,0,0,0,0,0,0,0,0,0
HK.01299,AIA,2025-07-21,2026-01-21,19.91,10.4,0.75,0,0,0,0,0,0,0,0,0
HK.00941,ChinaMobile,2025-07-21,2026-01-21,-6.67,11.92,-0.55,0,0,0,0,0,0,0,0,0
HK.03690,Meituan,2025-07-21,2026-01-21,-24.94,30.77,-0.71,0,0,0,0,0,0,0,0,0
HK.01211,BYD,2025-07-21,2026-01-21,-24.44,32.34,-0.76,0,0,0,0,0,0,0,0,0
HK.00388,HKEX,2025-07-21,2026-01-21,-0.98,14.53,0.0,0,0,0,0,0,0,0,0,0
