stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,11.39,18.39,1.15,941,401,42.6,804,386,48.0,1745,787,45.1
HK.00005,HSBC,2025-07-21,2026-01-21,30.8,9.69,2.61,734,314,42.8,752,324,43.1,1486,638,42.9
HK.09988,Alibaba,2025-07-21,2026-01-21,26.3,8.96,2.37,483,247,51.1,701,385,54.9,1184,632,53.4
HK.01810,Xiaomi,2025-07-21,2026-01-21,-16.1,22.39,-1.27,796,358,45.0,679,373,54.9,1475,731,49.6
HK.00939,CCB,2025-07-21,2026-01-21,76.13,8.53,6.91,930,373,40.1,1132,493,43.6,2062,866,42.0
HK.01299,AIA,2025-07-21,2026-01-21,37.39,10.99,3.46,655,346,52.8,863,491,56.9,1518,837,55.1
HK.00941,ChinaMobile,2025-07-21,2026-01-21,7.94,4.31,1.8,705,284,40.3,645,306,47.4,1350,590,43.7
HK.03690,Meituan,2025-07-21,2026-01-21,19.56,20.7,1.45,830,387,46.6,619,350,56.5,1449,737,50.9
HK.01211,BYD,2025-07-21,2026-01-21,-30.92,34.26,-3.41,723,289,40.0,687,324,47.2,1410,613,43.5
HK.00388,HKEX,2025-07-21,2026-01-21,4.4,14.69,0.59,1041,512,49.2,905,427,47.2,1946,939,48.3
