stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,39.1,12.93,3.18,764,340,44.5,705,326,46.2,1469,666,45.3
HK.00005,HSBC,2025-07-21,2026-01-21,0.45,14.27,0.15,637,233,36.6,447,159,35.6,1084,392,36.2
HK.09988,Alibaba,2025-07-21,2026-01-21,7.96,12.61,0.83,414,199,48.1,685,373,54.5,1099,572,52.0
HK.01810,Xiaomi,2025-07-21,2026-01-21,78.98,8.2,5.56,929,458,49.3,704,392,55.7,1633,850,52.1
HK.00939,CCB,2025-07-21,2026-01-21,15.11,7.87,1.94,727,251,34.5,698,273,39.1,1425,524,36.8
HK.01299,AIA,2025-07-21,2026-01-21,36.74,11.03,2.85,944,494,52.3,800,444,55.5,1744,938,53.8
HK.00941,ChinaMobile,2025-07-21,2026-01-21,-3.62,6.48,-0.83,669,222,33.2,664,258,38.9,1333,480,36.0
HK.03690,Meituan,2025-07-21,2026-01-21,26.25,9.68,2.4,660,244,37.0,585,322,55.0,1245,566,45.5
HK.01211,BYD,2025-07-21,2026-01-21,24.88,17.7,1.76,824,365,44.3,976,465,47.6,1800,830,46.1
HK.00388,HKEX,2025-07-21,2026-01-21,55.62,6.99,4.78,1278,651,50.9,1259,708,56.2,2537,1359,53.6
