stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,-9.61,23.72,-0.86,1706,673,39.4,1854,763,41.2,3560,1436,40.3
HK.00005,HSBC,2025-07-21,2026-01-21,16.91,9.79,1.86,1834,622,33.9,1684,575,34.1,3518,1197,34.0
HK.09988,Alibaba,2025-07-21,2026-01-21,-5.39,29.02,-0.05,1733,759,43.8,1962,844,43.0,3695,1603,43.4
HK.01810,Xiaomi,2025-07-21,2026-01-21,5.05,13.55,0.49,1997,839,42.0,1902,861,45.3,3899,1700,43.6
HK.00939,CCB,2025-07-21,2026-01-21,-10.12,12.98,-1.92,809,221,27.3,979,342,34.9,1788,563,31.5
HK.01299,AIA,2025-07-21,2026-01-21,-6.67,14.14,-0.7,1744,671,38.5,1734,705,40.7,3478,1376,39.6
HK.00941,ChinaMobile,2025-07-21,2026-01-21,5.21,7.39,0.98,1845,650,35.2,2094,728,34.8,3939,1378,35.0
HK.03690,Meituan,2025-07-21,2026-01-21,-21.71,24.02,-1.79,1767,695,39.3,1838,768,41.8,3605,1463,40.6
HK.01211,BYD,2025-07-21,2026-01-21,11.82,20.31,0.96,1724,718,41.6,1569,721,46.0,3293,1439,43.7
HK.00388,HKEX,2025-07-21,2026-01-21,9.87,9.16,1.18,1610,698,43.4,1637,723,44.2,3247,1421,43.8
