stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,10.51,20.45,0.91,823,346,42.0,852,380,44.6,1675,726,43.3
HK.00005,HSBC,2025-07-21,2026-01-21,-17.99,19.3,-2.45,586,197,33.6,729,242,33.2,1315,439,33.4
HK.09988,Alibaba,2025-07-21,2026-01-21,26.81,15.81,2.0,500,240,48.0,707,397,56.2,1207,637,52.8
HK.01810,Xiaomi,2025-07-21,2026-01-21,36.79,6.25,3.09,573,248,43.3,589,301,51.1,1162,549,47.2
HK.00939,CCB,2025-07-21,2026-01-21,62.34,3.97,7.33,751,311,41.4,769,354,46.0,1520,665,43.8
HK.01299,AIA,2025-07-21,2026-01-21,34.92,7.24,3.09,808,420,52.0,741,418,56.4,1549,838,54.1
HK.00941,ChinaMobile,2025-07-21,2026-01-21,-2.23,7.51,-0.46,722,249,34.5,668,260,38.9,1390,509,36.6
HK.03690,Meituan,2025-07-21,2026-01-21,29.05,9.29,2.22,700,345,49.3,722,428,59.3,1422,773,54.4
HK.01211,BYD,2025-07-21,2026-01-21,27.08,14.39,1.99,722,304,42.1,604,295,48.8,1326,599,45.2
HK.00388,HKEX,2025-07-21,2026-01-21,17.22,18.37,1.54,1058,507,47.9,1054,547,51.9,2112,1054,49.9
