stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,7.67,5.62,1.13,300,123,41.0,298,128,43.0,598,251,42.0
HK.00005,HSBC,2025-07-21,2026-01-21,0.94,17.86,0.21,167,55,32.9,267,111,41.6,434,166,38.2
HK.09988,Alibaba,2025-07-21,2026-01-21,64.89,18.89,2.96,800,351,43.9,571,270,47.3,1371,621,45.3
HK.01810,Xiaomi,2025-07-21,2026-01-21,-9.98,15.66,-0.75,508,220,43.3,192,99,51.6,700,319,45.6
HK.00939,CCB,2025-07-21,2026-01-21,43.23,7.12,4.61,506,223,44.1,288,140,48.6,794,363,45.7
HK.01299,AIA,2025-07-21,2026-01-21,-18.08,19.6,-2.46,319,127,39.8,208,99,47.6,527,226,42.9
HK.00941,ChinaMobile,2025-07-21,2026-01-21,-3.09,7.35,-0.62,465,170,36.6,466,192,41.2,931,362,38.9
HK.03690,Meituan,2025-07-21,2026-01-21,6.24,13.79,0.71,234,92,39.3,298,142,47.7,532,234,44.0
HK.01211,BYD,2025-07-21,2026-01-21,-31.64,33.63,-2.77,293,130,44.4,283,131,46.3,576,261,45.3
HK.00388,HKEX,2025-07-21,2026-01-21,-9.01,12.8,-1.05,141,68,48.2,271,130,48.0,412,198,48.1
