stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,26.2,9.64,2.28,290,112,38.6,286,133,46.5,576,245,42.5
HK.00005,HSBC,2025-07-21,2026-01-21,11.39,9.55,1.31,382,185,48.4,251,132,52.6,633,317,50.1
HK.09988,Alibaba,2025-07-21,2026-01-21,-8.87,33.31,-0.32,386,149,38.6,546,278,50.9,932,427,45.8
HK.01810,Xiaomi,2025-07-21,2026-01-21,8.98,11.27,0.92,429,177,41.3,476,241,50.6,905,418,46.2
HK.00939,CCB,2025-07-21,2026-01-21,15.48,11.01,1.94,409,179,43.8,349,155,44.4,758,334,44.1
HK.01299,AIA,2025-07-21,2026-01-21,25.89,16.63,2.12,476,225,47.3,458,222,48.5,934,447,47.9
HK.00941,ChinaMobile,2025-07-21,2026-01-21,-1.02,5.29,-0.09,627,245,39.1,526,219,41.6,1153,464,40.2
HK.03690,Meituan,2025-07-21,2026-01-21,22.88,17.2,1.53,564,225,39.9,621,292,47.0,1185,517,43.6
HK.01211,BYD,2025-07-21,2026-01-21,2.6,29.59,0.39,569,245,43.1,576,284,49.3,1145,529,46.2
HK.00388,HKEX,2025-07-21,2026-01-21,-0.42,17.91,0.03,446,177,39.7,428,183,42.8,874,360,41.2
