stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,-5.860000133514404,7.41,-1.46,31,10,32.3,994,378,38.0,1025,388,37.9
HK.00005,HSBC,2025-07-21,2026-01-21,-1.190000057220459,9.02,-0.03,1803,611,33.9,1279,424,33.2,3082,1035,33.6
HK.09988,Alibaba,2025-07-21,2026-01-21,-29.59000015258789,41.06,-1.47,483,210,43.5,1436,647,45.1,1919,857,44.7
HK.01810,Xiaomi,2025-07-21,2026-01-21,48.59000015258789,19.15,2.52,271,116,42.8,389,194,49.9,660,310,47.0
HK.00939,CCB,2025-07-21,2026-01-21,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
HK.01299,AIA,2025-07-21,2026-01-21,-1.9700000286102295,3.26,-1.2,54,22,40.7,124,55,44.4,178,77,43.3
HK.00941,ChinaMobile,2025-07-21,2026-01-21,0.7699999809265137,12.53,0.13,1461,499,34.2,1461,588,40.2,2922,1087,37.2
HK.03690,Meituan,2025-07-21,2026-01-21,27.3700008392334,19.22,1.7,184,80,43.5,347,171,49.3,531,251,47.3
HK.01211,BYD,2025-07-21,2026-01-21,35.459999084472656,12.87,2.12,913,364,39.9,985,488,49.5,1898,852,44.9
HK.00388,HKEX,2025-07-21,2026-01-21,-1.1699999570846558,13.01,0.02,426,190,44.6,478,238,49.8,904,428,47.3
