stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,-10.38,17.33,-0.92,418,150,35.9,354,148,41.8,772,298,38.6
HK.00005,HSBC,2025-07-21,2026-01-21,22.69,5.18,2.56,395,170,43.0,259,152,58.7,654,322,49.2
HK.09988,Alibaba,2025-07-21,2026-01-21,3.1,23.4,0.44,519,230,44.3,540,256,47.4,1059,486,45.9
HK.01810,Xiaomi,2025-07-21,2026-01-21,-3.17,17.78,-0.16,384,168,43.8,457,233,51.0,841,401,47.7
HK.00939,CCB,2025-07-21,2026-01-21,11.25,8.48,1.61,308,115,37.3,363,159,43.8,671,274,40.8
HK.01299,AIA,2025-07-21,2026-01-21,3.82,26.53,0.38,649,285,43.9,612,273,44.6,1261,558,44.3
HK.00941,ChinaMobile,2025-07-21,2026-01-21,1.87,10.34,0.57,280,99,35.4,229,97,42.4,509,196,38.5
HK.03690,Meituan,2025-07-21,2026-01-21,-0.26,19.97,0.17,494,196,39.7,513,271,52.8,1007,467,46.4
HK.01211,BYD,2025-07-21,2026-01-21,-24.8,33.44,-1.88,625,274,43.8,484,243,50.2,1109,517,46.6
HK.00388,HKEX,2025-07-21,2026-01-21,-11.68,18.55,-1.28,381,166,43.6,412,177,43.0,793,343,43.3
