stock,name,start_date,end_date,return_pct,max_dd_pct,sharpe,long_trades,long_wins,long_winrate,short_trades,short_wins,short_winrate,total_trades,total_wins,total_winrate
HK.00700,Tencent,2025-07-21,2026-01-21,-13.97,22.13,-1.45,1599,640,40.0,1808,743,41.1,3407,1383,40.6
HK.00005,HSBC,2025-07-21,2026-01-21,0.15,17.73,0.11,1590,512,32.2,1465,503,34.3,3055,1015,33.2
HK.09988,Alibaba,2025-07-21,2026-01-21,-42.41,49.96,-2.52,1579,669,42.4,1755,762,43.4,3334,1431,42.9
HK.01810,Xiaomi,2025-07-21,2026-01-21,51.09,18.55,2.8,1823,760,41.7,1914,863,45.1,3737,1623,43.4
HK.00939,CCB,2025-07-21,2026-01-21,3.3,2.75,1.35,212,75,35.4,178,60,33.7,390,135,34.6
HK.01299,AIA,2025-07-21,2026-01-21,12.61,13.5,1.35,1577,633,40.1,1586,665,41.9,3163,1298,41.0
HK.00941,ChinaMobile,2025-07-21,2026-01-21,-1.74,7.07,-0.19,1822,649,35.6,1850,673,36.4,3672,1322,36.0
HK.03690,Meituan,2025-07-21,2026-01-21,13.05,12.85,0.93,1775,706,39.8,1772,774,43.7,3547,1480,41.7
HK.01211,BYD,2025-07-21,2026-01-21,51.04,10.74,3.09,1750,717,41.0,1819,833,45.8,3569,1550,43.4
HK.00388,HKEX,2025-07-21,2026-01-21,8.02,11.63,0.99,1480,656,44.3,1826,820,44.9,3306,1476,44.6
