model,stock,cost_label,cost_rate,return_pct,max_dd_pct,total_trades,total_winrate
pv_transformer,HK.00700,0%(基准),0.0,54.33,8.43,636,46.7
pv_transformer,HK.00700,0.03%,0.0003,5.38,15.76,636,46.7
pv_transformer,HK.00700,0.05%,0.0005,-18.29,22.26,636,46.7
pv_transformer,HK.00700,0.10%,0.001,-56.75,56.57,636,46.7
pv_transformer,HK.00700,0.15%,0.0015,-77.12,77.01,636,46.7
pv_transformer,HK.00005,0%(基准),0.0,7.33,9.7,637,50.1
pv_transformer,HK.00005,0.03%,0.0003,-26.77,31.56,637,50.1
pv_transformer,HK.00005,0.05%,0.0005,-43.25,45.74,637,50.1
pv_transformer,HK.00005,0.10%,0.001,-70.0,69.94,637,50.1
pv_transformer,HK.00005,0.15%,0.0015,-84.14,84.06,637,50.1
pv_transformer,HK.09988,0%(基准),0.0,-7.56,37.26,992,48.3
pv_transformer,HK.09988,0.03%,0.0003,-49.03,53.59,992,48.3
pv_transformer,HK.09988,0.05%,0.0005,-65.73,66.36,992,48.3
pv_transformer,HK.09988,0.10%,0.001,-87.3,87.37,992,48.3
pv_transformer,HK.09988,0.15%,0.0015,-95.3,95.31,992,48.3
pv_transformer,HK.01810,0%(基准),0.0,-17.67,27.84,975,43.6
pv_transformer,HK.01810,0.03%,0.0003,-54.14,54.86,975,43.6
pv_transformer,HK.01810,0.05%,0.0005,-68.96,69.31,975,43.6
pv_transformer,HK.01810,0.10%,0.001,-88.3,88.32,975,43.6
pv_transformer,HK.01810,0.15%,0.0015,-95.59,95.59,975,43.6
pv_transformer,HK.00939,0%(基准),0.0,13.55,9.9,794,44.1
pv_transformer,HK.00939,0.03%,0.0003,-29.49,31.75,794,44.1
pv_transformer,HK.00939,0.05%,0.0005,-48.68,48.9,794,44.1
pv_transformer,HK.00939,0.10%,0.001,-76.81,76.64,794,44.1
pv_transformer,HK.00939,0.15%,0.0015,-89.53,89.45,794,44.1
pv_transformer,HK.01299,0%(基准),0.0,15.6,11.41,1043,46.1
pv_transformer,HK.01299,0.03%,0.0003,-38.18,43.24,1043,46.1
pv_transformer,HK.01299,0.05%,0.0005,-59.27,62.08,1043,46.1
pv_transformer,HK.01299,0.10%,0.001,-85.66,86.4,1043,46.1
pv_transformer,HK.01299,0.15%,0.0015,-94.95,95.17,1043,46.1
pv_transformer,HK.00941,0%(基准),0.0,-4.42,9.18,1135,42.5
pv_transformer,HK.00941,0.03%,0.0003,-51.63,51.76,1135,42.5
pv_transformer,HK.00941,0.05%,0.0005,-69.29,69.25,1135,42.5
pv_transformer,HK.00941,0.10%,0.001,-90.14,90.12,1135,42.5
pv_transformer,HK.00941,0.15%,0.0015,-96.83,96.83,1135,42.5
pv_transformer,HK.03690,0%(基准),0.0,-21.44,42.8,1141,41.2
pv_transformer,HK.03690,0.03%,0.0003,-60.39,65.42,1141,41.2
pv_transformer,HK.03690,0.05%,0.0005,-74.91,76.6,1141,41.2
pv_transformer,HK.03690,0.10%,0.001,-91.99,92.15,1141,41.2
pv_transformer,HK.03690,0.15%,0.0015,-97.45,97.44,1141,41.2
pv_transformer,HK.01211,0%(基准),0.0,-11.71,27.74,1109,44.5
pv_transformer,HK.01211,0.03%,0.0003,-54.62,59.19,1109,44.5
pv_transformer,HK.01211,0.05%,0.0005,-70.88,72.51,1109,44.5
pv_transformer,HK.01211,0.10%,0.001,-90.4,90.38,1109,44.5
pv_transformer,HK.01211,0.15%,0.0015,-96.84,96.83,1109,44.5
pv_transformer,HK.00388,0%(基准),0.0,-7.04,16.62,817,40.5
pv_transformer,HK.00388,0.03%,0.0003,-43.07,44.45,817,40.5
pv_transformer,HK.00388,0.05%,0.0005,-58.95,59.91,817,40.5
pv_transformer,HK.00388,0.10%,0.001,-81.88,82.26,817,40.5
pv_transformer,HK.00388,0.15%,0.0015,-92.0,92.15,817,40.5
cnn_lstm,HK.00700,0%(基准),0.0,13.48,11.64,1789,45.2
cnn_lstm,HK.00700,0.03%,0.0003,-61.21,61.21,1789,45.2
cnn_lstm,HK.00700,0.05%,0.0005,-81.04,81.04,1789,45.2
cnn_lstm,HK.00700,0.10%,0.001,-96.84,96.84,1789,45.2
cnn_lstm,HK.00700,0.15%,0.0015,-99.47,99.47,1789,45.2
cnn_lstm,HK.00005,0%(基准),0.0,7.7,14.41,1434,42.9
cnn_lstm,HK.00005,0.03%,0.0003,-54.45,54.7,1434,42.9
cnn_lstm,HK.00005,0.05%,0.0005,-74.34,74.44,1434,42.9
cnn_lstm,HK.00005,0.10%,0.001,-93.89,93.9,1434,42.9
cnn_lstm,HK.00005,0.15%,0.0015,-98.55,98.55,1434,42.9
cnn_lstm,HK.09988,0%(基准),0.0,3.24,13.05,1188,52.9
cnn_lstm,HK.09988,0.03%,0.0003,-49.39,51.2,1188,52.9
cnn_lstm,HK.09988,0.05%,0.0005,-68.54,69.13,1188,52.9
cnn_lstm,HK.09988,0.10%,0.001,-90.42,90.42,1188,52.9
cnn_lstm,HK.09988,0.15%,0.0015,-97.08,97.08,1188,52.9
cnn_lstm,HK.01810,0%(基准),0.0,23.06,10.89,1475,49.4
cnn_lstm,HK.01810,0.03%,0.0003,-49.21,49.21,1475,49.4
cnn_lstm,HK.01810,0.05%,0.0005,-71.85,71.85,1475,49.4
cnn_lstm,HK.01810,0.10%,0.001,-93.57,93.57,1475,49.4
cnn_lstm,HK.01810,0.15%,0.0015,-98.53,98.53,1475,49.4
cnn_lstm,HK.00939,0%(基准),0.0,106.87,6.96,2126,42.8
cnn_lstm,HK.00939,0.03%,0.0003,-42.23,43.75,2126,42.8
cnn_lstm,HK.00939,0.05%,0.0005,-75.32,75.6,2126,42.8
cnn_lstm,HK.00939,0.10%,0.001,-97.06,97.06,2126,42.8
cnn_lstm,HK.00939,0.15%,0.0015,-99.65,99.65,2126,42.8
cnn_lstm,HK.01299,0%(基准),0.0,55.48,7.92,1558,55.4
cnn_lstm,HK.01299,0.03%,0.0003,-38.95,41.25,1558,55.4
cnn_lstm,HK.01299,0.05%,0.0005,-67.27,68.32,1558,55.4
cnn_lstm,HK.01299,0.10%,0.001,-93.11,93.26,1558,55.4
cnn_lstm,HK.01299,0.15%,0.0015,-98.55,98.57,1558,55.4
cnn_lstm,HK.00941,0%(基准),0.0,2.46,6.42,1337,42.6
cnn_lstm,HK.00941,0.03%,0.0003,-54.07,54.23,1337,42.6
cnn_lstm,HK.00941,0.05%,0.0005,-73.1,73.15,1337,42.6
cnn_lstm,HK.00941,0.10%,0.001,-92.94,92.94,1337,42.6
cnn_lstm,HK.00941,0.15%,0.0015,-98.15,98.15,1337,42.6
cnn_lstm,HK.03690,0%(基准),0.0,28.96,17.78,1431,50.7
cnn_lstm,HK.03690,0.03%,0.0003,-45.36,47.19,1431,50.7
cnn_lstm,HK.03690,0.05%,0.0005,-69.18,69.5,1431,50.7
cnn_lstm,HK.03690,0.10%,0.001,-92.64,92.63,1431,50.7
cnn_lstm,HK.03690,0.15%,0.0015,-98.24,98.24,1431,50.7
cnn_lstm,HK.01211,0%(基准),0.0,-13.08,26.38,1342,44.9
