model,cost_label,cost_rate,avg_return,avg_dd,avg_trades,avg_winrate,n_stocks
cnn_lstm,0%(基准),0.0,23.287998,12.744,1565.2,47.339999999999996,10
cnn_lstm,0.03%,0.0003,-52.395,53.423,1565.2,47.339999999999996,10
cnn_lstm,0.05%,0.0005,-74.337,74.659,1565.2,47.339999999999996,10
cnn_lstm,0.10%,0.001,-94.252,94.269,1565.2,47.339999999999996,10
cnn_lstm,0.15%,0.0015,-98.639,98.64099999999999,1565.2,47.339999999999996,10
lstm,0%(基准),0.0,18.974,13.649000000000001,1470.1,45.769999999999996,10
lstm,0.03%,0.0003,-50.444,52.181,1470.1,45.769999999999996,10
lstm,0.05%,0.0005,-72.048,72.474,1470.1,45.769999999999996,10
lstm,0.10%,0.001,-93.098,93.15599999999999,1470.1,45.769999999999996,10
lstm,0.15%,0.0015,-98.226,98.233,1470.1,45.769999999999996,10
pv_transformer,0%(基准),0.0,2.0970001,20.088,927.9,44.760000000000005,10
pv_transformer,0.03%,0.0003,-40.194,45.158,927.9,44.760000000000005,10
pv_transformer,0.05%,0.0005,-57.821003,59.291999999999994,927.9,44.760000000000005,10
pv_transformer,0.10%,0.001,-81.923,82.015,927.9,44.760000000000005,10
pv_transformer,0.15%,0.0015,-91.975,91.98400000000001,927.9,44.760000000000005,10
transformer,0%(基准),0.0,6.395,17.512999999999998,862.8,44.56,10
transformer,0.03%,0.0003,-36.323,39.292,862.8,44.56,10
transformer,0.05%,0.0005,-54.333,55.309000000000005,862.8,44.56,10
transformer,0.10%,0.001,-79.453995,79.586,862.8,44.56,10
transformer,0.15%,0.0015,-90.35899,90.39500000000001,862.8,44.56,10
