特征,特征代码,均值,标准差,偏度,峰度,最小值,25%分位,中位数,75%分位,最大值
K线形态,kline_position,-0.0030026681781429297,0.6345034378389155,0.005749034910225056,-0.8166540815263539,-1.0,-0.5,0.0,0.4999999999999763,1.0
日内波幅,range_pct,0.1639814882681267,0.1401164492247719,3.8312380666484067,59.378990771091104,0.0,0.07790749361556658,0.13679890559940983,0.21111893032331247,10.640945861192238
1分钟收益率,return_1,1.8710732728912767e-06,0.0016981897390568792,1.5380448375103184,350.94889203113956,-0.1504398574880843,-0.0006709158000672844,0.0,0.00066487416591543,0.15808848438311607
5分钟收益率,return_5,7.764067378268557e-06,0.0033575058891993693,1.043813644754334,106.75596615703934,-0.16307386469528484,-0.001295169019556952,0.0,0.0012507817385865039,0.17555938037865748
20分钟收益率,return_20,2.8881519739104497e-05,0.006391358828645129,0.71048322727229,33.9405116073742,-0.16257363629408605,-0.0023901716143218676,0.0,0.0022421524663676085,0.1804107192453135
60分钟收益率,return_60,8.599219234505006e-05,0.01094422530538189,0.5493880838878389,14.767137802057519,-0.17148723188858295,-0.004252906152537705,0.0,0.003971631205673676,0.2360248447204969
收益率Z-score,return_zscore,0.001274281952634359,0.9703237861593914,0.016176948309653896,0.7736526643800827,-4.248526014641919,-0.5886579138716874,-0.0004525061112040834,0.5832749890992973,4.248524591543321
ATR百分比,atr_pct,0.17409252894739932,0.10323704316115798,2.4309862506329742,14.145013878504855,7.749316048650914e-15,0.10449596407747294,0.14815411668630327,0.21788836113267213,2.640962404099684
20期波动率,volatility_20,0.13444282267569221,0.1058514164290927,6.672576057883987,101.42004268309545,0.0,0.07856519195650927,0.10923410415260078,0.1584357622891437,3.6164568574955354
成交不平衡(TI),ti,2191.590056403279,788291.1699451681,6.327053796303368,31522.211151796124,-297354666.6666666,-10500.0,0.0,9800.0,353853000.0
5期累积TI,ti_5,10957.771797548354,1764463.4042961954,4.055213485961392,6264.599590055127,-297354666.6666666,-66333.33333333385,0.0,68899.98389655488,355351066.6666666
60期累积TI,ti_60,131500.61672949186,6397106.362423897,2.233465709276987,487.19531215355465,-295578666.6666665,-379553.8103802618,17249.999999998978,475958.33333333454,358117850.0
TI Z-score,ti_zscore,0.00032564670414729355,0.9790350108292107,0.06714615428088914,3.920452162480413,-4.248529350933581,-0.3434321618395313,-0.0074218238144423574,0.33455836814684153,4.248529947053442
相对成交量,relative_volume,1.0165620219583267,1.274257859648376,4.3716108591323835,29.734322345623625,0.0,0.3290642532620528,0.6585249042144017,1.2190663971141724,19.999999999999396
成交量变化,volume_change,inf,,,,-1.0,-0.543010752688172,-0.009756097560975618,1.1623931623931623,inf
量价相关性,pv_corr,0.015306050448133513,0.3235272292445731,-0.018129878543827697,-0.5351771871660782,-1.000000000016374,-0.22071983106222937,0.015603549830080844,0.2526096056115546,1.0000000000999572
RSI(14),rsi,49.80960661775273,14.950025263545001,0.01386184163321235,0.038011428485421384,0.0,40.019927590735186,49.76676006592381,59.533260900860185,99.99999888652955
布林带位置,bb_position,-0.007599424673112424,0.6196374701114926,0.029225510985941738,-0.5382164178188389,-2.124266519381212,-0.48584250378956506,-0.00898942675630272,0.46907422063008747,2.1242660403760967
MACD DIF,macd_dif,-0.00044358041463408315,0.2915738698092074,0.5886825951725784,81.73525922965865,-12.382491962821348,-0.04107492509465516,-0.0004515407193692589,0.036022937419090795,9.619646876377885
MACD DEA,macd_dea,-0.00044323941296900004,0.2741686814134275,0.5725429760245049,73.11879879151174,-10.907569071557603,-0.03907875150736059,-0.00041834598663740587,0.03409297116793984,8.926410402539778
MACD柱,macd,-6.820033301661653e-07,0.17750846317262886,0.5040109503465354,127.87301616644115,-10.092446285070572,-0.024157877380993925,-2.9970975155459948e-05,0.023907082364791554,7.981976733427194
市场状态,market_regime,0.6000208173504952,0.6633150804900229,0.6577611807303188,-0.6281420929912711,0.0,0.0,1.0,1.0,2.0
