特征,特征代码,Pearson r,Pearson p值,Spearman ρ,Spearman p值,显著性
收益率Z-score,return_zscore,0.7762,0.0000e+00,0.9330,0.0000e+00,***
K线形态,kline_position,0.5254,0.0000e+00,0.7308,0.0000e+00,***
TI Z-score,ti_zscore,0.4985,0.0000e+00,0.6809,0.0000e+00,***
5分钟收益率,return_5,0.4314,0.0000e+00,0.3900,0.0000e+00,***
布林带位置,bb_position,0.3950,0.0000e+00,0.4167,0.0000e+00,***
RSI(14),rsi,0.3848,0.0000e+00,0.4539,0.0000e+00,***
20分钟收益率,return_20,0.2223,0.0000e+00,0.2000,0.0000e+00,***
成交不平衡(TI),ti,0.1799,0.0000e+00,0.7678,0.0000e+00,***
60分钟收益率,return_60,0.1308,0.0000e+00,0.1138,0.0000e+00,***
MACD柱,macd,0.1177,0.0000e+00,0.1243,0.0000e+00,***
量价相关性,pv_corr,0.0673,0.0000e+00,0.0438,0.0000e+00,***
5期累积TI,ti_5,0.0551,0.0000e+00,0.1969,0.0000e+00,***
MACD DIF,macd_dif,0.0406,0.0000e+00,0.0429,0.0000e+00,***
相对成交量,relative_volume,0.0200,0.0000e+00,0.0077,2.6789e-54,***
60期累积TI,ti_60,0.0142,5.3021e-179,0.0369,0.0000e+00,***
20期波动率,volatility_20,0.0104,1.8349e-96,-0.0016,9.2693e-04,***
MACD DEA,macd_dea,0.0051,6.6016e-25,0.0049,6.9815e-23,***
日内波幅,range_pct,0.0045,2.2757e-19,-0.0026,1.6351e-07,***
市场状态,market_regime,0.0036,6.1457e-13,-0.0014,0.0039,***
ATR百分比,atr_pct,0.0031,3.6286e-10,-0.0034,1.3095e-11,***
成交量变化,volume_change,nan,nan,0.0018,3.6023e-04,
