特征,特征代码,系数β,t统计量,p值,R²,显著性
收益率Z-score,return_zscore,0.001358,2472.30,0.0000e+00,0.6025,***
K线形态,kline_position,0.001406,1240.21,0.0000e+00,0.2761,***
TI Z-score,ti_zscore,0.000865,1155.18,0.0000e+00,0.2486,***
5分钟收益率,return_5,0.218206,960.28,0.0000e+00,0.1861,***
布林带位置,bb_position,0.001083,863.77,0.0000e+00,0.1561,***
RSI(14),rsi,0.000044,840.86,0.0000e+00,0.1492,***
20分钟收益率,return_20,0.059078,457.97,0.0000e+00,0.0494,***
成交不平衡(TI),ti,0.000000,367.21,0.0000e+00,0.0324,***
60分钟收益率,return_60,0.020291,264.90,0.0000e+00,0.0171,***
MACD柱,macd,0.001126,237.98,0.0000e+00,0.0138,***
量价相关性,pv_corr,0.000354,135.56,0.0000e+00,0.0045,***
5期累积TI,ti_5,0.000000,110.81,0.0000e+00,0.0030,***
MACD DIF,macd_dif,0.000237,81.71,0.0000e+00,0.0017,***
相对成交量,relative_volume,0.000027,40.23,0.0000e+00,0.0004,***
60期累积TI,ti_60,0.000000,28.50,0.0000e+00,0.0002,***
20期波动率,volatility_20,0.000167,20.85,0.0000e+00,0.0001,***
日内波幅,range_pct,0.000055,9.02,0.0000e+00,0.0000,***
ATR百分比,atr_pct,0.000052,6.31,2.8304e-10,0.0000,***
MACD DEA,macd_dea,0.000032,10.32,0.0000e+00,0.0000,***
市场状态,market_regime,0.000009,7.22,5.2647e-13,0.0000,***
