股票代码,股票名称,1M_样本量,1M_缺失率,1M_起始日期,1M_结束日期,5M_样本量,5M_缺失率,5M_起始日期,5M_结束日期,60M_样本量,60M_缺失率,60M_起始日期,60M_结束日期,DAY_样本量,DAY_缺失率,DAY_起始日期,DAY_结束日期,行业
HK.00700,腾讯控股,392216,0.00%,2021-01-22,2026-01-21,79426,0.00%,2021-01-22,2026-01-21,7333,0.00%,2021-01-22,2026-01-21,2458,0.00%,2016-01-25,2026-01-21,科技
HK.00005,汇丰控股,392223,0.00%,2021-01-22,2026-01-21,79428,0.00%,2021-01-22,2026-01-21,7333,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,金融
HK.09988,阿里巴巴,392231,0.00%,2021-01-22,2026-01-21,79429,0.00%,2021-01-22,2026-01-21,7334,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,科技
HK.01810,小米集团,392239,0.00%,2021-01-22,2026-01-21,79431,0.00%,2021-01-22,2026-01-21,7334,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,科技
HK.00939,建设银行,392247,0.00%,2021-01-22,2026-01-21,79432,0.00%,2021-01-22,2026-01-21,7334,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,金融
HK.01299,友邦保险,392255,0.00%,2021-01-22,2026-01-21,79434,0.00%,2021-01-22,2026-01-21,7334,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,金融
HK.00941,中国移动,392263,0.00%,2021-01-22,2026-01-21,79435,0.00%,2021-01-22,2026-01-21,7335,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,通信
HK.03690,美团,392263,0.00%,2021-01-22,2026-01-21,79435,0.00%,2021-01-22,2026-01-21,7335,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,科技
HK.01211,比亚迪,392263,0.00%,2021-01-22,2026-01-21,79435,0.00%,2021-01-22,2026-01-21,7335,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,汽车
HK.00388,香港交易所,392263,0.00%,2021-01-22,2026-01-21,79435,0.00%,2021-01-22,2026-01-21,7335,0.00%,2021-01-22,2026-01-21,1228,0.00%,2021-01-22,2026-01-21,金融
