股票代码,股票名称,行业,模型,Accuracy,F1-macro,AUC,数据来源
HK.00700,腾讯控股,科技,LSTM,0.7096295318840101,0.35825380341855295,0.5,val
HK.00700,腾讯控股,科技,GRU,0.7139016263649259,0.35681716099106575,0.5,val
HK.00700,腾讯控股,科技,CNN-LSTM,0.7064625738132154,0.35274861314395817,0.5,val
HK.00700,腾讯控股,科技,Transformer,0.6963678949625574,0.37965584668454566,0.5,val
HK.00700,腾讯控股,科技,PV-Transformer,0.7165407580905881,0.31154498402573383,0.5,val
HK.00700,腾讯控股,科技,PV-Transformer+LSF,0.4255952380952381,0.32754540894075773,0.5,val
HK.00005,汇丰控股,金融,LSTM,0.90006102891451,0.3166450132001816,0.5,val
HK.00005,汇丰控股,金融,GRU,0.90006102891451,0.32185133331324006,0.5,val
HK.00005,汇丰控股,金融,CNN-LSTM,0.9001435004206046,0.3187768898221189,0.5,val
HK.00005,汇丰控股,金融,Transformer,0.8978013096475168,0.340429123530725,0.5,val
HK.00005,汇丰控股,金融,PV-Transformer,0.8999950517096343,0.31712744200309656,0.5,val
HK.00005,汇丰控股,金融,PV-Transformer+LSF,0.4304635761589404,0.3694044396172799,0.5,val
HK.09988,阿里巴巴,科技,LSTM,0.6648963367365452,0.36403421624756543,0.5,val
HK.09988,阿里巴巴,科技,GRU,0.6633789110821554,0.3804814177008898,0.5,val
HK.09988,阿里巴巴,科技,CNN-LSTM,0.6619274604562173,0.36454752246119276,0.5,val
HK.09988,阿里巴巴,科技,Transformer,0.6547196885978657,0.3899787235205072,0.5,val
HK.09988,阿里巴巴,科技,PV-Transformer,0.6572267396790314,0.3757908277079162,0.5,val
HK.09988,阿里巴巴,科技,PV-Transformer+LSF,0.5298013245033113,0.3083897512753664,0.5,val
HK.01810,小米集团,科技,LSTM,0.5630051129803727,0.3124072831942311,0.5,val
HK.01810,小米集团,科技,GRU,0.564473033151905,0.32660369614884194,0.5,val
HK.01810,小米集团,科技,CNN-LSTM,0.5641926439056573,0.3380324851517451,0.5,val
HK.01810,小米集团,科技,Transformer,0.5687613392709879,0.3995979626206641,0.5,val
HK.01810,小米集团,科技,PV-Transformer,0.5651327725548408,0.3931484574114068,0.5,val
HK.01810,小米集团,科技,PV-Transformer+LSF,0.5695364238410596,0.5297175141242938,0.5,val
HK.00939,建设银行,金融,LSTM,0.7196813511240124,0.3609763253628894,0.5,val
HK.00939,建设银行,金融,GRU,0.7276475730237008,0.3587289146069353,0.5,val
HK.00939,建设银行,金融,CNN-LSTM,0.7185763058501426,0.36069719016643936,0.5,val
HK.00939,建设银行,金融,Transformer,0.6799162144777424,0.3765875574818645,0.5,val
HK.00939,建设银行,金融,PV-Transformer,0.6819448796820109,0.3771683399444284,0.5,val
HK.00939,建设银行,金融,PV-Transformer+LSF,0.3576158940397351,0.3325285043594903,0.5,val
HK.01299,友邦保险,金融,LSTM,0.748301227074812,0.3044917294552793,0.5,val
HK.01299,友邦保险,金融,GRU,0.7478394247262172,0.3082947820778364,0.5,val
HK.01299,友邦保险,金融,CNN-LSTM,0.7445573294629898,0.3228070188644892,0.5,val
HK.01299,友邦保险,金融,Transformer,0.7203621849848265,0.374510950226651,0.5,val
HK.01299,友邦保险,金融,PV-Transformer,0.7483671988388969,0.2951766354586842,0.5,val
HK.01299,友邦保险,金融,PV-Transformer+LSF,0.7218543046357616,0.2794871794871795,0.5,val
HK.00941,中国移动,通信,LSTM,0.8157274091666255,0.31779115458157975,0.5,val
HK.00941,中国移动,通信,GRU,0.8156944238286081,0.3307216715645522,0.5,val
HK.00941,中国移动,通信,CNN-LSTM,0.8164201012649878,0.3212273881288805,0.5,val
HK.00941,中国移动,通信,Transformer,0.798212194679465,0.34062500913511645,0.5,val
HK.00941,中国移动,通信,PV-Transformer,0.8140616495967542,0.3170640276717733,0.5,val
HK.00941,中国移动,通信,PV-Transformer+LSF,0.4966887417218543,0.4570299989324223,0.5,val
HK.03690,美团,科技,LSTM,0.5742252568733198,0.38399946099403026,0.5,val
HK.03690,美团,科技,GRU,0.5773093859779328,0.3660465355955762,0.5,val
HK.03690,美团,科技,CNN-LSTM,0.57602295779526,0.37759162633002535,0.5,val
HK.03690,美团,科技,Transformer,0.5627793445813336,0.3899012275412439,0.5,val
HK.03690,美团,科技,PV-Transformer,0.5763198258374153,0.36187565927088966,0.5,val
HK.03690,美团,科技,PV-Transformer+LSF,0.4768211920529801,0.4471830985915493,0.5,val
HK.01211,比亚迪,汽车,LSTM,0.647881516665842,0.3434775914130497,0.5,val
HK.01211,比亚迪,汽车,GRU,0.6475516632856695,0.3656862698585412,0.5,val
HK.01211,比亚迪,汽车,CNN-LSTM,0.6396846601685551,0.36549642094832424,0.5,val
HK.01211,比亚迪,汽车,Transformer,0.6183101611333762,0.3955044919541328,0.5,val
