股票代码,股票名称,模型,Accuracy,F1-macro,F1-weighted,AUC
HK.00700,腾讯控股,LSTM,0.16317812195886322,0.1614091251019352,0.16806140618563128,0.5863637943062456
HK.00700,腾讯控股,GRU,0.17355303742556946,0.1688354194157394,0.18670274409680754,0.5896502271398804
HK.00700,腾讯控股,CNN-LSTM,0.22823164596631865,0.20448083305815634,0.2751088029976672,0.5718048760475968
HK.00700,腾讯控股,Transformer,0.1628812245369225,0.16044038822734985,0.1665374818889538,0.5812801362279707
HK.00700,腾讯控股,PV-Transformer,0.15583815791643987,0.15333190732569923,0.15633515060008799,0.6417669888082164
HK.00700,腾讯控股,LogisticRegression,0.42998993847625644,0.2833703954953481,0.5126674896189687,0.4921939137506591
HK.00700,腾讯控股,RandomForest,0.7766011842908275,0.3309258950321366,0.7325131833277893,0.5033578976339119
HK.00700,腾讯控股,XGBoost,0.419895426130272,0.28446040958310886,0.503328620801969,0.5002366195530064
HK.00005,汇丰控股,LSTM,0.4049943920300851,0.24650253292149796,0.5342793225333886,0.5966640750933027
HK.00005,汇丰控股,GRU,0.37669063798904795,0.23651501808044859,0.5031429037652962,0.6203827774079649
HK.00005,汇丰控股,CNN-LSTM,0.3653757339842977,0.23173709159074526,0.4916522116813815,0.6242099860999711
HK.00005,汇丰控股,Transformer,0.4162103318598667,0.25436479910819343,0.5439195216386051,0.6574139450117349
HK.00005,汇丰控股,PV-Transformer,0.27030414989773704,0.1949459467324792,0.3777877611356977,0.656659230509173
HK.00005,汇丰控股,LogisticRegression,0.3533680807547668,0.21710782326388514,0.4796506216291351,0.49973881369597906
HK.00005,汇丰控股,RandomForest,0.40027709968991226,0.2365583305390345,0.5283281881862147,0.5059449532981645
HK.00005,汇丰控股,XGBoost,0.34805700336478196,0.21223090283238075,0.4747920240913494,0.4814389694052723
HK.09988,阿里巴巴,LSTM,0.3218591763017698,0.29502648643388957,0.36584389435330666,0.6303439020359209
HK.09988,阿里巴巴,GRU,0.2643289514918603,0.2547616684164439,0.28807651600238154,0.6203071886742663
HK.09988,阿里巴巴,CNN-LSTM,0.2930115951112504,0.2755967956983149,0.3274645251128895,0.623316965472643
HK.09988,阿里巴巴,Transformer,0.2601725246994013,0.2518910476458068,0.28231382369710895,0.595358255176354
HK.09988,阿里巴巴,PV-Transformer,0.291642613270877,0.26853869156691673,0.3281869612527454,0.5632076645969816
HK.09988,阿里巴巴,LogisticRegression,0.3256362466806314,0.2774384301931482,0.3734142174206257,0.4998305498538036
HK.09988,阿里巴巴,RandomForest,0.19127810123868116,0.16044236765779996,0.16378361044962642,0.5171867931225606
HK.09988,阿里巴巴,XGBoost,0.3343614441933728,0.2809466225393364,0.3825301925003608,0.4918617677081274
HK.01810,小米集团,LSTM,0.6789543130463467,0.40409502276866943,0.6494830387725624,0.6437490069649106
HK.01810,小米集团,GRU,0.6732310737258783,0.4136991539237378,0.6519220588751993,0.6488808038193986
HK.01810,小米集团,CNN-LSTM,0.6575457694210787,0.41328819118502036,0.6451622164199831,0.6443034661633221
HK.01810,小米集团,Transformer,0.6688767936665018,0.3960635568036126,0.6429390604566211,0.6436664212451171
HK.01810,小米集团,PV-Transformer,0.6119247897080653,0.39556367973438183,0.6168392392558348,0.6144373884286386
HK.01810,小米集团,LogisticRegression,0.168596404420254,0.17375913132147527,0.1345283587961945,0.4961751168572839
HK.01810,小米集团,RandomForest,0.13777008081807687,0.10695751844155077,0.0442289407571404,0.47920781409217067
HK.01810,小米集团,XGBoost,0.17143328385287812,0.17742914291520906,0.1369770898173362,0.5094171484208839
HK.00939,建设银行,LSTM,0.4197123631085895,0.2980155330751812,0.5107553073735898,0.6054836597894745
HK.00939,建设银行,GRU,0.494705765932181,0.32502604431935883,0.5781280484689381,0.5872252628175453
HK.00939,建设银行,CNN-LSTM,0.5025564058582926,0.3297571121297163,0.5841598263922075,0.5948991981251016
HK.00939,建设银行,Transformer,0.24864757883625807,0.21349911536676827,0.3099805189240876,0.5925295635953717
HK.00939,建设银行,PV-Transformer,0.3927299115978361,0.2880196210826132,0.48313776931185154,0.6023449200504402
HK.00939,建设银行,LogisticRegression,0.8273024145665655,0.3127242907558893,0.7579081000860892,0.5004129340762876
HK.00939,建设银行,RandomForest,0.8335532392136166,0.3030739154943091,0.7578847319443057,0.5091292794335326
HK.00939,建设银行,XGBoost,0.8181983111228395,0.31659876394246617,0.7549625083443874,0.4980956866559166
HK.01299,友邦保险,LSTM,0.5251100885656326,0.3528040145222961,0.5930810529965591,0.6368446703027457
HK.01299,友邦保险,GRU,0.6088598617914337,0.3775165043172574,0.6542336606633132,0.6413400688764727
HK.01299,友邦保险,CNN-LSTM,0.49778173601833986,0.3394059974590024,0.5701651214724712,0.6241139621936674
HK.01299,友邦保险,Transformer,0.36445499975261,0.28479214391332364,0.4423447145026262,0.558977167013632
HK.01299,友邦保险,PV-Transformer,0.37464746919994063,0.2931279576611309,0.4551052880884041,0.6173235551878831
HK.01299,友邦保险,LogisticRegression,0.4811736183266538,0.31024270084048794,0.5498928424758579,0.5017534604206514
HK.01299,友邦保险,RandomForest,0.8011643824320089,0.3033360895510386,0.7191596940709194,0.46357016947617335
HK.01299,友邦保险,XGBoost,0.4507776293437567,0.2994945044076118,0.5244218606321402,0.5002495565675138
HK.00941,中国移动,LSTM,0.5123857901507405,0.27006283760280875,0.6469475039373459,0.6544260656911332
HK.00941,中国移动,GRU,0.38227727017844776,0.2235236800214527,0.5224434030974937,0.6617975700140271
HK.00941,中国移动,CNN-LSTM,0.5242438235973217,0.2760611812104314,0.6560335389927062,0.6661468276361511
HK.00941,中国移动,Transformer,0.496619058613979,0.259396010019107,0.6333120429124557,0.629679162708106
HK.00941,中国移动,PV-Transformer,0.42016030609888844,0.2354748074733496,0.5619583391329139,0.6304171688424445
HK.00941,中国移动,LogisticRegression,0.06049411221426922,0.05684198125345954,0.07117835227351062,0.4948365306902172
HK.00941,中国移动,RandomForest,0.02414486921529175,0.031202332224371812,0.0024187452499493858,0.4888889737389819
HK.00941,中国移动,XGBoost,0.11841541049576146,0.09196767687135744,0.17638968988748635,0.4950384252215923
HK.03690,美团,LSTM,0.540241448692153,0.40473247378290605,0.5700221957148814,0.6488612022590723
HK.03690,美团,GRU,0.563215357720091,0.40890905818551054,0.5850043414963042,0.6395958897013719
HK.03690,美团,CNN-LSTM,0.5282514760695319,0.40652747974397246,0.5633541343732736,0.6503503540988483
HK.03690,美团,Transformer,0.5552990071577003,0.40710758829893523,0.5796856604480571,0.63441256602007
HK.03690,美团,PV-Transformer,0.5369924464821717,0.4004003306879467,0.5671791007776485,0.6445890952716943
HK.03690,美团,LogisticRegression,0.2642082000197909,0.24942184689236677,0.28872743644597804,0.49749147993016957
HK.03690,美团,RandomForest,0.15347824652835043,0.10062943847525774,0.04763857386324076,0.5175811936362207
HK.03690,美团,XGBoost,0.2669294455256127,0.25276747124022475,0.29252211524426447,0.498376769690206
HK.01211,比亚迪,LSTM,0.5191146881287726,0.3783894306871731,0.5580749322521336,0.5977260383048434
HK.01211,比亚迪,GRU,0.559009796483821,0.39070998997270284,0.586627528440297,0.6177285273762565
HK.01211,比亚迪,CNN-LSTM,0.46656991127090414,0.3588641048735774,0.5188708237649559,0.5877559549199998
HK.01211,比亚迪,Transformer,0.46739453112115315,0.3610792117230601,0.5168902258708294,0.5845041591346963
HK.01211,比亚迪,PV-Transformer,0.3858066431375136,0.325787506401354,0.44087341914270356,0.5758306788995137
HK.01211,比亚迪,LogisticRegression,0.19985486690635618,0.20048774171982275,0.19441124052254916,0.500098415637927
HK.01211,比亚迪,RandomForest,0.13944321667711185,0.12607424700074507,0.05352686330842812,0.4945312200528102
HK.01211,比亚迪,XGBoost,0.22009103803146748,0.21602934807681037,0.22892050495218988,0.49671206190159256
HK.00388,香港交易所,LSTM,0.7437906125276248,0.3982426004864837,0.7524757757739248,0.6614941918972966
HK.00388,香港交易所,GRU,0.7399313916284593,0.4034716515592185,0.7515320151805903,0.673479675076048
HK.00388,香港交易所,CNN-LSTM,0.7429824850743807,0.41100621948561505,0.7546351109868573,0.6526755985185203
HK.00388,香港交易所,Transformer,0.7074743543226573,0.40062208305953034,0.7348226663643598,0.6677138835040016
HK.00388,香港交易所,PV-Transformer,0.733334432826467,0.407186737498242,0.7491922188448406,0.6779155804330258
HK.00388,香港交易所,LogisticRegression,0.14373123989840683,0.1406645258208946,0.151681500317903,0.49479907959716796
HK.00388,香港交易所,RandomForest,0.0782894085826434,0.06418926443493293,0.015328529640592966,0.5028762795846231
HK.00388,香港交易所,XGBoost,0.16970676518125144,0.15929541828807295,0.19604167077576878,0.5029584986421566
