配置,描述,预测步长,Accuracy,F1-macro,AUC
Baseline,标准Transformer（仅自注意力）,5min,0.5475,0.5193,0.6082
Baseline,标准Transformer（仅自注意力）,15min,0.4981,0.4668,0.5433
Baseline,标准Transformer（仅自注意力）,30min,0.4166,0.3938,0.4514
+P→V,添加价格→成交量交叉注意力,5min,0.5647,0.5377,0.6227
+P→V,添加价格→成交量交叉注意力,15min,0.5070,0.4764,0.5539
+P→V,添加价格→成交量交叉注意力,30min,0.4187,0.3999,0.4703
+V→P,添加成交量→价格交叉注意力,5min,0.5535,0.5279,0.6273
+V→P,添加成交量→价格交叉注意力,15min,0.5011,0.4818,0.5509
+V→P,添加成交量→价格交叉注意力,30min,0.4158,0.4018,0.4592
+Both (Ours),双向交叉注意力（完整PV-CrossAttention）,5min,0.5819,0.5550,0.6465
+Both (Ours),双向交叉注意力（完整PV-CrossAttention）,15min,0.5190,0.5115,0.5831
+Both (Ours),双向交叉注意力（完整PV-CrossAttention）,30min,0.4297,0.4226,0.4799
