配置,描述,预测步长,Accuracy,F1-macro,AUC
Single-1min,仅使用1分钟K线,5min,0.5375,0.5093,0.5932
Single-1min,仅使用1分钟K线,15min,0.4998,0.4680,0.5416
Single-1min,仅使用1分钟K线,30min,0.4359,0.4118,0.4697
Single-Daily,仅使用日K线,5min,0.5127,0.4827,0.5577
Single-Daily,仅使用日K线,15min,0.4704,0.4366,0.5066
Single-Daily,仅使用日K线,30min,0.4052,0.3829,0.4496
Concat,简单拼接四尺度特征,5min,0.5505,0.5229,0.6223
Concat,简单拼接四尺度特征,15min,0.5095,0.4879,0.5587
Concat,简单拼接四尺度特征,30min,0.4413,0.4246,0.4862
Fixed-Weight,固定权重加权（各25%）,5min,0.5669,0.5390,0.6265
Fixed-Weight,固定权重加权（各25%）,15min,0.5168,0.5079,0.5777
Fixed-Weight,固定权重加权（各25%）,30min,0.4467,0.4377,0.4963
LSF (Ours),可学习门控权重融合,5min,0.5910,0.5582,0.6484
LSF (Ours),可学习门控权重融合,15min,0.5438,0.5263,0.6035
LSF (Ours),可学习门控权重融合,30min,0.4714,0.4529,0.5166
