特征组,描述,特征数量,预测步长,Accuracy,F1-macro,AUC
Group A,仅价格特征（收益率、K线形态）,8,5min,0.5215,0.4946,0.5769
Group A,仅价格特征（收益率、K线形态）,8,15min,0.4726,0.4448,0.5168
Group A,仅价格特征（收益率、K线形态）,8,30min,0.3947,0.3736,0.4298
Group B,价格 + 成交量特征,12,5min,0.5566,0.5286,0.6086
Group B,价格 + 成交量特征,12,15min,0.5002,0.4713,0.5438
Group B,价格 + 成交量特征,12,30min,0.4146,0.3945,0.4584
Group C,价格 + 成交量 + 技术指标,18,5min,0.5693,0.5438,0.6364
Group C,价格 + 成交量 + 技术指标,18,15min,0.5141,0.4934,0.5645
Group C,价格 + 成交量 + 技术指标,18,30min,0.4274,0.4113,0.4705
Group D,全部特征（多尺度融合）,22,5min,0.5911,0.5662,0.6541
Group D,全部特征（多尺度融合）,22,15min,0.5292,0.5168,0.5895
Group D,全部特征（多尺度融合）,22,30min,0.4393,0.4285,0.4876
