排名,特征代码,特征名称,XGBoost_SHAP,CNN_LSTM_SHAP,平均SHAP,特征类别
1,macd_dif,MACD DIF,0.10634136414409893,0.11826378712101371,0.11230257563255633,技术指标
2,relative_volume,相对成交量,0.05516067822704871,0.10412505210198857,0.07964286516451864,成交量
3,return_zscore,收益率Z-score,0.08123172906815682,0.04289033334806559,0.062061031208111204,价格动量
4,ti_5,5期累积TI,0.07056593747565407,0.05005076763702645,0.06030835255634026,成交不平衡
5,bb_position,布林带位置,0.07928880940855328,0.04059126472053767,0.059940037064545475,技术指标
6,return_20,20分钟收益率,0.031780889982983576,0.08064853718539013,0.05621471358418685,价格动量
7,ti,成交不平衡(TI),0.05926979594348387,0.049042610456444743,0.05415620319996431,成交不平衡
8,ti_60,60期累积TI,0.026419378571576304,0.08170853435613508,0.05406395646385569,成交不平衡
9,range_pct,日内波幅,0.06315177819521096,0.043038045948582335,0.05309491207189665,K线形态
10,kline_position,K线形态,0.046301629566612275,0.056511956296145124,0.0514067929313787,K线形态
11,ti_zscore,TI Z-score,0.019798171288746263,0.07051488837652675,0.04515652983263651,成交不平衡
12,return_1,1分钟收益率,0.054189212263801606,0.02740715466229449,0.040798183463048046,价格动量
13,macd,MACD柱,0.04592977267882602,0.0334153295361614,0.03967255110749371,技术指标
14,return_5,5分钟收益率,0.046557531801514465,0.03037918742792062,0.03846835961471754,价格动量
15,pv_corr,量价相关性,0.05553083502041438,0.012972610693723331,0.03425172285706886,成交量
16,atr_pct,ATR百分比,0.028561414179043607,0.03612288825655357,0.032342151217798584,波动率
17,volume_change,成交量变化,0.042833067166229054,0.020816641590275457,0.031824854378252256,成交量
18,volatility_20,20期波动率,0.035501216335549694,0.01943164655589871,0.0274664314457242,波动率
19,return_60,60分钟收益率,0.021043936971468277,0.030625098411266025,0.025834517691367152,价格动量
20,rsi,RSI(14),0.03038583319453593,0.018414459855875184,0.024400146525205557,技术指标
21,market_regime,市场状态,0.0001570185164919308,0.033029205462175144,0.016593111989333536,市场状态
22,macd_dea,MACD DEA,0.0,0.0,0.0,技术指标
