feature,feature_cn,horizon_min,mean_F,mean_p,n_sig_005,n_sig_001,n_stocks,sig_rate
atr_pct,ATR百分比,5,5.77826,0.058886799999999996,8,6,10,0.8
atr_pct,ATR百分比,15,4.15419,0.1212349,6,4,10,0.6
atr_pct,ATR百分比,30,3.78575,0.1078813,7,3,10,0.7
bb_position,布林带位置,5,707.9404999999999,0.0,10,10,10,1.0
bb_position,布林带位置,15,186.74601,0.0,10,10,10,1.0
bb_position,布林带位置,30,278.78968,0.0,10,10,10,1.0
kline_position,K线形态,5,276.46999999999997,0.0,10,10,10,1.0
kline_position,K线形态,15,474.62926,0.0,10,10,10,1.0
kline_position,K线形态,30,547.4409499999999,0.0,10,10,10,1.0
macd,MACD柱,5,668.94067,0.0,10,10,10,1.0
macd,MACD柱,15,38.76214,0.0,10,10,10,1.0
macd,MACD柱,30,30.56379,1.7e-06,10,10,10,1.0
macd_dea,MACD DEA,5,811.2718600000001,0.0,10,10,10,1.0
macd_dea,MACD DEA,15,41.36706,0.0,10,10,10,1.0
macd_dea,MACD DEA,30,11.81854,5.3e-06,10,10,10,1.0
macd_dif,MACD DIF,5,685.30495,0.0,10,10,10,1.0
macd_dif,MACD DIF,15,38.72805,0.0,10,10,10,1.0
macd_dif,MACD DIF,30,18.30182,7.599999999999999e-06,10,10,10,1.0
pv_corr,量价相关性,5,40.34944,0.0,10,10,10,1.0
pv_corr,量价相关性,15,6.21883,0.1150229,8,5,10,0.8
pv_corr,量价相关性,30,7.101819999999999,0.0716467,8,6,10,0.8
range_pct,日内波幅,5,8.54957,0.041917499999999996,9,8,10,0.9
range_pct,日内波幅,15,5.95667,0.1832074,5,3,10,0.5
range_pct,日内波幅,30,6.49032,0.09133159999999999,7,5,10,0.7
relative_volume,相对成交量,5,8.45172,0.0084154,9,8,10,0.9
relative_volume,相对成交量,15,12.51965,0.0022212,10,9,10,1.0
relative_volume,相对成交量,30,13.779419999999998,0.0009806,10,10,10,1.0
return_1,1分钟收益率,5,807.4938500000001,0.0,10,10,10,1.0
return_1,1分钟收益率,15,329.90405999999996,0.0,10,10,10,1.0
return_1,1分钟收益率,30,385.31452,0.0,10,10,10,1.0
return_20,20分钟收益率,5,682.39024,0.0,10,10,10,1.0
return_20,20分钟收益率,15,35.73258,0.0,10,10,10,1.0
return_20,20分钟收益率,30,46.88984,0.0007993999999999999,10,10,10,1.0
return_5,5分钟收益率,5,771.05692,0.0,10,10,10,1.0
return_5,5分钟收益率,15,106.12509,0.0,10,10,10,1.0
return_5,5分钟收益率,30,154.5616,0.0,10,10,10,1.0
return_60,60分钟收益率,5,620.1821,0.0,10,10,10,1.0
return_60,60分钟收益率,15,19.10708,0.0,10,10,10,1.0
return_60,60分钟收益率,30,15.85728,0.0112506,9,8,10,0.9
return_zscore,收益率Z-score,5,619.34051,0.0,10,10,10,1.0
return_zscore,收益率Z-score,15,356.33748,0.0,10,10,10,1.0
return_zscore,收益率Z-score,30,391.90852,0.0,10,10,10,1.0
rsi,RSI(14),5,348.75291000000004,0.0,10,10,10,1.0
rsi,RSI(14),15,58.28592,0.0,10,10,10,1.0
rsi,RSI(14),30,88.41686999999999,3.6000000000000003e-06,10,10,10,1.0
ti,成交不平衡(TI),5,127.16131,0.0,10,10,10,1.0
ti,成交不平衡(TI),15,58.22341,0.0009031000000000001,10,10,10,1.0
ti,成交不平衡(TI),30,75.76262,0.0001797,10,10,10,1.0
ti_5,5期累积TI,5,93.30825999999999,0.0,10,10,10,1.0
ti_5,5期累积TI,15,21.257330000000003,0.0024239,10,9,10,1.0
ti_5,5期累积TI,30,33.05946,0.0057109,9,9,10,0.9
ti_60,60期累积TI,5,57.88574,0.0,10,10,10,1.0
ti_60,60期累积TI,15,11.542480000000001,0.007257700000000001,10,8,10,1.0
ti_60,60期累积TI,30,12.227360000000001,0.0684704,7,6,10,0.7
ti_zscore,TI Z-score,5,212.4115,0.0,10,10,10,1.0
ti_zscore,TI Z-score,15,196.69243,0.0,10,10,10,1.0
ti_zscore,TI Z-score,30,231.5969,0.0,10,10,10,1.0
volatility_20,20期波动率,5,14.701640000000001,0.0341014,9,9,10,0.9
volatility_20,20期波动率,15,3.83662,0.11323449999999999,7,5,10,0.7
volatility_20,20期波动率,30,7.150439999999999,0.05493050000000001,7,5,10,0.7
volume_change,成交量变化,5,6.23966,0.1718303,4,4,10,0.4
volume_change,成交量变化,15,7.12623,0.1314045,5,4,10,0.5
volume_change,成交量变化,30,11.79599,0.0698895,7,5,10,0.7
