stock,feature,feature_cn,horizon_min,F_statistic,p_value,significant_005,significant_001
HK.00700,kline_position,K线形态,5,372.2253,0.0,True,True
HK.00700,kline_position,K线形态,15,533.2084,0.0,True,True
HK.00700,kline_position,K线形态,30,638.271,0.0,True,True
HK.00700,range_pct,日内波幅,5,3.244,0.006251,True,True
HK.00700,range_pct,日内波幅,15,5.6934,0.017034,True,False
HK.00700,range_pct,日内波幅,30,4.9741,0.025735,True,False
HK.00700,return_1,1分钟收益率,5,918.634,0.0,True,True
HK.00700,return_1,1分钟收益率,15,461.89,0.0,True,True
HK.00700,return_1,1分钟收益率,30,532.1696,0.0,True,True
HK.00700,return_5,5分钟收益率,5,1631.462,0.0,True,True
HK.00700,return_5,5分钟收益率,15,30.5956,0.0,True,True
HK.00700,return_5,5分钟收益率,30,198.8956,0.0,True,True
HK.00700,return_20,20分钟收益率,5,704.497,0.0,True,True
HK.00700,return_20,20分钟收益率,15,17.9878,0.0,True,True
HK.00700,return_20,20分钟收益率,30,81.1029,0.0,True,True
HK.00700,return_60,60分钟收益率,5,630.4242,0.0,True,True
HK.00700,return_60,60分钟收益率,15,14.1033,0.0,True,True
HK.00700,return_60,60分钟收益率,30,34.0077,0.0,True,True
HK.00700,return_zscore,收益率Z-score,5,781.1203,0.0,True,True
HK.00700,return_zscore,收益率Z-score,15,361.9846,0.0,True,True
HK.00700,return_zscore,收益率Z-score,30,448.6978,0.0,True,True
HK.00700,atr_pct,ATR百分比,5,2.2637,0.045439,True,False
HK.00700,atr_pct,ATR百分比,15,4.4988,0.011128,True,False
HK.00700,atr_pct,ATR百分比,30,3.177,0.04172,True,False
HK.00700,volatility_20,20期波动率,5,10.61,0.0,True,True
HK.00700,volatility_20,20期波动率,15,5.3432,0.020809,True,False
HK.00700,volatility_20,20期波动率,30,1.5562,0.183003,False,False
HK.00700,ti,成交不平衡(TI),5,77.2979,0.0,True,True
HK.00700,ti,成交不平衡(TI),15,118.4598,0.0,True,True
HK.00700,ti,成交不平衡(TI),30,173.0902,0.0,True,True
HK.00700,ti_5,5期累积TI,5,51.1464,0.0,True,True
HK.00700,ti_5,5期累积TI,15,33.8834,0.0,True,True
HK.00700,ti_5,5期累积TI,30,42.4537,0.0,True,True
HK.00700,ti_60,60期累积TI,5,33.7916,0.0,True,True
HK.00700,ti_60,60期累积TI,15,7.2067,1e-06,True,True
HK.00700,ti_60,60期累积TI,30,12.2237,5e-06,True,True
HK.00700,ti_zscore,TI Z-score,5,293.5993,0.0,True,True
HK.00700,ti_zscore,TI Z-score,15,309.48,0.0,True,True
HK.00700,ti_zscore,TI Z-score,30,383.4723,0.0,True,True
HK.00700,relative_volume,相对成交量,5,8.4767,0.0,True,True
HK.00700,relative_volume,相对成交量,15,26.3168,0.0,True,True
HK.00700,relative_volume,相对成交量,30,32.4014,0.0,True,True
HK.00700,volume_change,成交量变化,5,11.7649,8e-06,True,True
HK.00700,volume_change,成交量变化,15,27.2083,0.0,True,True
HK.00700,volume_change,成交量变化,30,45.6483,0.0,True,True
HK.00700,pv_corr,量价相关性,5,50.8047,0.0,True,True
HK.00700,pv_corr,量价相关性,15,0.5702,0.450167,False,False
HK.00700,pv_corr,量价相关性,30,4.0062,0.04534,True,False
HK.00700,rsi,RSI(14),5,448.2812,0.0,True,True
HK.00700,rsi,RSI(14),15,15.0567,0.0,True,True
HK.00700,rsi,RSI(14),30,85.844,0.0,True,True
HK.00700,bb_position,布林带位置,5,412.6538,0.0,True,True
HK.00700,bb_position,布林带位置,15,43.5589,0.0,True,True
HK.00700,bb_position,布林带位置,30,262.368,0.0,True,True
HK.00700,macd_dif,MACD DIF,5,546.5217,0.0,True,True
HK.00700,macd_dif,MACD DIF,15,31.4932,0.0,True,True
HK.00700,macd_dif,MACD DIF,30,12.1489,0.0,True,True
HK.00700,macd_dea,MACD DEA,5,631.071,0.0,True,True
HK.00700,macd_dea,MACD DEA,15,37.2438,0.0,True,True
HK.00700,macd_dea,MACD DEA,30,12.528,0.0,True,True
HK.00700,macd,MACD柱,5,544.9171,0.0,True,True
HK.00700,macd,MACD柱,15,27.0217,0.0,True,True
HK.00700,macd,MACD柱,30,37.3128,0.0,True,True
HK.00005,kline_position,K线形态,5,242.8223,0.0,True,True
HK.00005,kline_position,K线形态,15,814.3189,0.0,True,True
HK.00005,kline_position,K线形态,30,919.0259,0.0,True,True
HK.00005,range_pct,日内波幅,5,23.8606,0.0,True,True
HK.00005,range_pct,日内波幅,15,18.5291,0.0,True,True
HK.00005,range_pct,日内波幅,30,20.9127,0.0,True,True
HK.00005,return_1,1分钟收益率,5,1043.0321,0.0,True,True
HK.00005,return_1,1分钟收益率,15,205.2763,0.0,True,True
HK.00005,return_1,1分钟收益率,30,250.1684,0.0,True,True
HK.00005,return_5,5分钟收益率,5,404.9045,0.0,True,True
HK.00005,return_5,5分钟收益率,15,35.0089,0.0,True,True
HK.00005,return_5,5分钟收益率,30,115.865,0.0,True,True
HK.00005,return_20,20分钟收益率,5,677.9387,0.0,True,True
HK.00005,return_20,20分钟收益率,15,14.749,0.0,True,True
HK.00005,return_20,20分钟收益率,30,18.2576,1.9e-05,True,True
HK.00005,return_60,60分钟收益率,5,608.24,0.0,True,True
HK.00005,return_60,60分钟收益率,15,11.9694,0.0,True,True
HK.00005,return_60,60分钟收益率,30,4.4538,0.000466,True,True
HK.00005,return_zscore,收益率Z-score,5,513.4133,0.0,True,True
HK.00005,return_zscore,收益率Z-score,15,542.9165,0.0,True,True
HK.00005,return_zscore,收益率Z-score,30,611.5414,0.0,True,True
HK.00005,atr_pct,ATR百分比,5,7.602,4e-06,True,True
HK.00005,atr_pct,ATR百分比,15,9.7626,0.0,True,True
HK.00005,atr_pct,ATR百分比,30,7.6406,4e-06,True,True
HK.00005,volatility_20,20期波动率,5,5.0952,0.000113,True,True
HK.00005,volatility_20,20期波动率,15,2.5909,0.023825,True,False
HK.00005,volatility_20,20期波动率,30,3.1886,0.01255,True,False
HK.00005,ti,成交不平衡(TI),5,137.3759,0.0,True,True
HK.00005,ti,成交不平衡(TI),15,18.8006,0.0,True,True
HK.00005,ti,成交不平衡(TI),30,18.9928,0.0,True,True
HK.00005,ti_5,5期累积TI,5,114.3406,0.0,True,True
HK.00005,ti_5,5期累积TI,15,8.8213,0.0,True,True
HK.00005,ti_5,5期累积TI,30,11.1816,0.0,True,True
HK.00005,ti_60,60期累积TI,5,73.7776,0.0,True,True
HK.00005,ti_60,60期累积TI,15,20.1794,0.0,True,True
