stock,model,model_display,regime,regime_name,n_samples,accuracy,f1_macro
HK.00700,lstm,LSTM,0,平稳期(<P50),19947,13.61,14.43
HK.00700,lstm,LSTM,1,正常期(P50-P90),15933,10.49,11.5
HK.00700,lstm,LSTM,2,高波动期(>P90),3994,11.72,12.49
HK.00700,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19947,37.47,28.51
HK.00700,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15933,25.75,22.5
HK.00700,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3994,17.25,17.32
HK.00700,transformer,Transformer,0,平稳期(<P50),19947,29.65,24.97
HK.00700,transformer,Transformer,1,正常期(P50-P90),15933,22.0,18.84
HK.00700,transformer,Transformer,2,高波动期(>P90),3994,14.22,13.15
HK.00700,pv_transformer,PV-Transformer,0,平稳期(<P50),19947,12.72,12.58
HK.00700,pv_transformer,PV-Transformer,1,正常期(P50-P90),15933,10.27,11.27
HK.00700,pv_transformer,PV-Transformer,2,高波动期(>P90),3994,12.69,13.64
HK.00700,xgboost,XGBoost,0,平稳期(<P50),19947,32.17,26.69
HK.00700,xgboost,XGBoost,1,正常期(P50-P90),15933,32.98,25.98
HK.00700,xgboost,XGBoost,2,高波动期(>P90),3994,29.52,24.97
HK.00005,lstm,LSTM,0,平稳期(<P50),19692,52.99,30.75
HK.00005,lstm,LSTM,1,正常期(P50-P90),15777,41.95,26.68
HK.00005,lstm,LSTM,2,高波动期(>P90),3949,14.33,13.87
HK.00005,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19692,57.89,31.8
HK.00005,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15777,42.58,28.01
HK.00005,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3949,18.97,17.0
HK.00005,transformer,Transformer,0,平稳期(<P50),19692,43.39,28.69
HK.00005,transformer,Transformer,1,正常期(P50-P90),15777,35.32,25.15
HK.00005,transformer,Transformer,2,高波动期(>P90),3949,21.9,18.09
HK.00005,pv_transformer,PV-Transformer,0,平稳期(<P50),19692,23.01,19.63
HK.00005,pv_transformer,PV-Transformer,1,正常期(P50-P90),15777,24.87,20.82
HK.00005,pv_transformer,PV-Transformer,2,高波动期(>P90),3949,27.53,21.29
HK.00005,xgboost,XGBoost,0,平稳期(<P50),19692,38.87,26.54
HK.00005,xgboost,XGBoost,1,正常期(P50-P90),15777,39.63,26.88
HK.00005,xgboost,XGBoost,2,高波动期(>P90),3949,39.55,25.91
HK.09988,lstm,LSTM,0,平稳期(<P50),19903,60.26,32.27
HK.09988,lstm,LSTM,1,正常期(P50-P90),15978,36.96,27.78
HK.09988,lstm,LSTM,2,高波动期(>P90),3994,25.41,21.59
HK.09988,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19903,64.27,32.15
HK.09988,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15978,39.83,29.42
HK.09988,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3994,16.02,15.65
HK.09988,transformer,Transformer,0,平稳期(<P50),19903,43.89,30.91
HK.09988,transformer,Transformer,1,正常期(P50-P90),15978,22.56,20.91
HK.09988,transformer,Transformer,2,高波动期(>P90),3994,22.76,21.82
HK.09988,pv_transformer,PV-Transformer,0,平稳期(<P50),19903,31.46,26.09
HK.09988,pv_transformer,PV-Transformer,1,正常期(P50-P90),15978,16.52,15.83
HK.09988,pv_transformer,PV-Transformer,2,高波动期(>P90),3994,14.47,14.46
HK.09988,xgboost,XGBoost,0,平稳期(<P50),19903,31.91,27.61
HK.09988,xgboost,XGBoost,1,正常期(P50-P90),15978,31.73,25.91
HK.09988,xgboost,XGBoost,2,高波动期(>P90),3994,29.04,25.32
HK.01810,lstm,LSTM,0,平稳期(<P50),19905,64.84,33.04
HK.01810,lstm,LSTM,1,正常期(P50-P90),15976,28.97,24.11
HK.01810,lstm,LSTM,2,高波动期(>P90),3994,15.15,15.19
HK.01810,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19905,45.38,32.09
HK.01810,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15976,34.72,26.14
HK.01810,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3994,20.01,20.41
HK.01810,transformer,Transformer,0,平稳期(<P50),19905,44.22,30.98
HK.01810,transformer,Transformer,1,正常期(P50-P90),15976,26.7,22.52
HK.01810,transformer,Transformer,2,高波动期(>P90),3994,18.93,19.57
HK.01810,pv_transformer,PV-Transformer,0,平稳期(<P50),19905,41.07,30.21
HK.01810,pv_transformer,PV-Transformer,1,正常期(P50-P90),15976,33.93,25.86
HK.01810,pv_transformer,PV-Transformer,2,高波动期(>P90),3994,30.07,27.66
HK.01810,xgboost,XGBoost,0,平稳期(<P50),19905,18.29,18.7
HK.01810,xgboost,XGBoost,1,正常期(P50-P90),15976,18.67,18.25
HK.01810,xgboost,XGBoost,2,高波动期(>P90),3994,23.71,22.93
HK.00939,lstm,LSTM,0,平稳期(<P50),19868,53.56,31.03
HK.00939,lstm,LSTM,1,正常期(P50-P90),15947,46.2,29.78
HK.00939,lstm,LSTM,2,高波动期(>P90),3987,35.14,29.38
HK.00939,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19868,42.37,27.6
HK.00939,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15947,35.08,25.53
HK.00939,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3987,21.6,21.47
HK.00939,transformer,Transformer,0,平稳期(<P50),19868,48.19,29.41
HK.00939,transformer,Transformer,1,正常期(P50-P90),15947,39.28,26.39
HK.00939,transformer,Transformer,2,高波动期(>P90),3987,27.74,24.69
HK.00939,pv_transformer,PV-Transformer,0,平稳期(<P50),19868,16.13,14.56
HK.00939,pv_transformer,PV-Transformer,1,正常期(P50-P90),15947,12.7,12.77
HK.00939,pv_transformer,PV-Transformer,2,高波动期(>P90),3987,13.49,14.48
HK.00939,xgboost,XGBoost,0,平稳期(<P50),19868,84.43,32.32
HK.00939,xgboost,XGBoost,1,正常期(P50-P90),15947,79.95,32.6
HK.00939,xgboost,XGBoost,2,高波动期(>P90),3987,68.87,31.92
HK.01299,lstm,LSTM,0,平稳期(<P50),19840,49.73,32.66
HK.01299,lstm,LSTM,1,正常期(P50-P90),15894,17.81,17.64
HK.01299,lstm,LSTM,2,高波动期(>P90),3978,10.33,10.83
HK.01299,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19840,43.34,30.98
HK.01299,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15894,20.96,19.33
HK.01299,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3978,12.09,12.77
HK.01299,transformer,Transformer,0,平稳期(<P50),19840,22.94,22.43
