model_display,regime,regime_name,mean_acc,mean_f1,n_stocks
CNN-LSTM,0,平稳期(<P50),45.201,29.368000000000002,10
CNN-LSTM,1,正常期(P50-P90),32.211,24.521,10
CNN-LSTM,2,高波动期(>P90),19.083000000000002,18.213,10
LSTM,0,平稳期(<P50),46.829,28.352999999999998,10
LSTM,1,正常期(P50-P90),29.928000000000004,22.75,10
LSTM,2,高波动期(>P90),20.357,18.326,10
PV-Transformer,0,平稳期(<P50),24.637999999999998,20.934,10
PV-Transformer,1,正常期(P50-P90),18.863999999999997,17.297,10
PV-Transformer,2,高波动期(>P90),17.091,16.596,10
Transformer,0,平稳期(<P50),34.674,26.21,10
Transformer,1,正常期(P50-P90),24.609,20.442,10
Transformer,2,高波动期(>P90),19.683,18.329,10
XGBoost,0,平稳期(<P50),32.619,24.294999999999998,10
XGBoost,1,正常期(P50-P90),32.592,23.762,10
XGBoost,2,高波动期(>P90),32.435,24.928,10
