model,topk,n_samples,accuracy,f1_macro,avg_confidence
CNN-LSTM,100%（全量）,60627,0.22823164596631865,0.20448083305815634,0.43234774470329285
CNN-LSTM,Top-10%,6062,0.22764764104256022,0.22001749190559772,0.5683613419532776
CNN-LSTM,Top-20%,12125,0.22061855670103092,0.21420105738170123,0.5315976142883301
CNN-LSTM,Top-30%,18188,0.21739608533098748,0.20992344517527795,0.5091397166252136
CNN-LSTM,Top-10%（margin）,6062,0.24315407456285054,0.22957447920766608,0.3067012429237366
CNN-LSTM,Top-20%（margin）,12125,0.23661855670103094,0.22129128553060382,0.2499903291463852
CNN-LSTM,Top-30%（margin）,18188,0.23537497250934683,0.21778473333377776,0.21535466611385345
LSTM,100%（全量）,60627,0.16317812195886322,0.1614091251019352,0.40657931566238403
LSTM,Top-10%,6062,0.26344440778620914,0.2561855460167273,0.5171586871147156
LSTM,Top-20%,12125,0.230680412371134,0.22928598616355853,0.4820629954338074
LSTM,Top-30%,18188,0.20425555311194193,0.20524758998294723,0.46347469091415405
LSTM,Top-10%（margin）,6062,0.3399868030353019,0.3084531074721519,0.21263271570205688
LSTM,Top-20%（margin）,12125,0.27175257731958763,0.2553446733982084,0.16105036437511444
LSTM,Top-30%（margin）,18188,0.23202111282164065,0.2210873383007984,0.13466723263263702
GRU,100%（全量）,60627,0.17355303742556946,0.1688354194157394,0.40059012174606323
GRU,Top-10%,6062,0.27301220719234576,0.2627881708966484,0.49040931463241577
GRU,Top-20%,12125,0.23744329896907215,0.23609974412901072,0.464000940322876
GRU,Top-30%,18188,0.21035847811744007,0.21055492939848008,0.4490179121494293
GRU,Top-10%（margin）,6062,0.33883206862421644,0.30010367713996544,0.1694052368402481
GRU,Top-20%（margin）,12125,0.2785154639175258,0.2558932483615792,0.13289321959018707
GRU,Top-30%（margin）,18188,0.24389707499450186,0.2286936212803468,0.11268419772386551
Transformer,100%（全量）,60627,0.1628812245369225,0.16044297219635864,0.43676337599754333
Transformer,Top-10%,6062,0.23210161662817552,0.19846348327449168,0.5456929802894592
Transformer,Top-20%,12125,0.20569072164948454,0.18882401380172606,0.5185931324958801
Transformer,Top-30%,18188,0.18847591818781614,0.180578784140404,0.5013368129730225
Transformer,Top-10%（margin）,6062,0.26773342131309796,0.22932007600309004,0.25000134110450745
Transformer,Top-20%（margin）,12125,0.22342268041237112,0.20073671575851418,0.20774772763252258
Transformer,Top-30%（margin）,18188,0.204915328788212,0.191990170402088,0.18118390440940857
XGBoost,100%（全量）,60627,0.419895426130272,0.28446040958310886,0.3651648759841919
XGBoost,Top-10%,6062,0.4597492576707357,0.31509719502551775,0.409627765417099
XGBoost,Top-20%,12125,0.4563298969072165,0.3093481571038727,0.3973517119884491
XGBoost,Top-30%,18188,0.45722454365515725,0.30700851461763107,0.3900023400783539
XGBoost,Top-10%（margin）,6062,0.4670075882547014,0.3127486636762324,0.09801071882247925
XGBoost,Top-20%（margin）,12125,0.46985567010309276,0.3120296062305382,0.07976336777210236
XGBoost,Top-30%（margin）,18188,0.46184297338904773,0.3056817714822175,0.06881703436374664
RandomForest,100%（全量）,60627,0.7766011842908275,0.3309258950321366,0.3430084302272944
RandomForest,Top-10%,6062,0.7469482019135599,0.33292774953386695,0.34835354457029843
RandomForest,Top-20%,12125,0.7733608247422681,0.33283800052216544,0.34677079889102747
RandomForest,Top-30%,18188,0.7849681108423137,0.3313681304971618,0.34590120043135114
RandomForest,Top-10%（margin）,6062,0.7731771692510723,0.32551463746525794,0.015655107318627366
RandomForest,Top-20%（margin）,12125,0.7856494845360825,0.32142885363224344,0.013111364781688452
RandomForest,Top-30%（margin）,18188,0.7977237739168682,0.32337152351411264,0.011697334363097453
LogisticRegression,100%（全量）,60627,0.42998993847625644,0.2833703954953481,0.3607294828478501
LogisticRegression,Top-10%,6062,0.47525569119102606,0.3125629198288967,0.3966476415472465
LogisticRegression,Top-20%,12125,0.4729896907216495,0.303481855376486,0.38691784034617477
LogisticRegression,Top-30%,18188,0.46932043105344184,0.30113636283590955,0.38111163679938576
LogisticRegression,Top-10%（margin）,6062,0.48201913559881227,0.308681960103903,0.08016626954971191
LogisticRegression,Top-20%（margin）,12125,0.4779381443298969,0.3054090343410772,0.06576218250748256
LogisticRegression,Top-30%（margin）,18188,0.4710798328568287,0.2997200353078431,0.0570650228029632
