model,topk,f1_mean,f1_std,acc_mean
CNN-LSTM,100%（全量）,0.3246725006434552,0.07547847127245576,0.4806550582371717
CNN-LSTM,Top-10%,0.34861605536568296,0.06808048170442042,0.640589955255368
CNN-LSTM,Top-20%,0.35367704216913676,0.06935117043463918,0.6341330741985781
CNN-LSTM,Top-30%,0.3549480213181652,0.07582217954739165,0.6137061897428736
GRU,100%（全量）,0.32029681882118705,0.09151107558918486,0.483580314436679
GRU,Top-10%,0.3350395908874664,0.0789917457333465,0.6183708991365434
GRU,Top-20%,0.3323489543171374,0.07531721196652424,0.6090782760397272
GRU,Top-30%,0.3335099847054762,0.08016855652683241,0.5973056187896104
LSTM,100%（全量）,0.3209280057382841,0.08096909091948296,0.4829340994510578
LSTM,Top-10%,0.34729739899708656,0.0908712936460958,0.6240782816389638
LSTM,Top-20%,0.3502598274373719,0.07922470636014062,0.6147444751075902
LSTM,Top-30%,0.34727967651510605,0.07642638938468838,0.6012590984591609
LogisticRegression,100%（全量）,0.22220588675567776,0.08186402855437071,0.3254355122263951
LogisticRegression,Top-10%,0.23146826345429986,0.09050015970890629,0.3313231551498227
LogisticRegression,Top-20%,0.22333839913800352,0.09075966069130295,0.3273472599560287
LogisticRegression,Top-30%,0.22021487659805375,0.09168489881158089,0.32501817902940955
RandomForest,100%（全量）,0.1763389398851177,0.10887335505568706,0.3535999828686521
RandomForest,Top-10%,0.17900857050393973,0.10690684740907384,0.3513992798479705
RandomForest,Top-20%,0.1759449411354162,0.10867744108083291,0.3544315872343826
RandomForest,Top-30%,0.17422893903217998,0.11045957626498536,0.35578620404529465
Transformer,100%（全量）,0.2989067660227227,0.08677084583643614,0.43477830096352543
Transformer,Top-10%,0.34661607124653704,0.06936346371918872,0.6415192551235235
Transformer,Top-20%,0.33120178913169107,0.06900628791266292,0.6064338310284964
Transformer,Top-30%,0.3243438419906307,0.07234669619317403,0.5779530853958362
XGBoost,100%（全量）,0.22912202606965787,0.07128008217282977,0.33178657572419945
XGBoost,Top-10%,0.23341345603355984,0.0866740643377762,0.3346883457774529
XGBoost,Top-20%,0.2287351157819632,0.08436236800283593,0.3308852281287036
XGBoost,Top-30%,0.22650330141941563,0.08291609718635659,0.32977333903835787
